name,gender,age_band,current_occupation,occupation_major,interests,purpose,topic_prefs,style,intro
영철,남,만 70세~79세,시설(배관공 / 전기공 / 건설노무자 / 목수),설치·정비·생산직,"춤/노래, 여행, 사진/영상 제작","학업 / 전문지식 조언, 정서적 지지와 대화","인생 경험·가치관, 정서적 지지, 학업·전문 지식",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
종수,남,만 90세 이상,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),예술·디자인·방송·스포츠직,"요리/베이킹, 미술·전시 감상",정서적 지지와 대화,"학업·전문 지식, 정서적 지지, 예술·문화","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.","따뜻하지만 냉철하게, 함께 길을 찾습니다."
순임,여,만 60세~69세,구직자 / 최근 퇴사자 / 프리랜서,보건·의료직,"미술·전시 감상, 게임 (PC/콘솔/모바일)","정서적 지지와 대화, 사회, 인생 경험 공유","진로·직업, IT·테크",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,경청 중심의 상담을 합니다.
정임,여,만 90세 이상,청소 / 경비(경비원 / 환경미화원),교육·법률·사회복지·경찰·소방직 및 군인,"요리/베이킹, 음악 감상, 영화/드라마 감상, 미술·전시 감상","학업 / 전문지식 조언, 사회, 인생 경험 공유","인생 경험·가치관, 예술·문화, IT·테크",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
정호,남,만 60세~69세,서비스 전문(상담사 / 심리치료사 / 사회복지사 / 코디네이터),연구직 및 공학기술직,"사진/영상 제작, 운동/스포츠 관람, 영화/드라마 감상",학업 / 전문지식 조언,"예술·문화, 정서적 지지, 학업·전문 지식","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",새로운 시도와 변화를 응원합니다.
정순,여,만 90세 이상,생산/제조(공장 생산직 / 조립공 / 기계조작원 / 용접공),예술·디자인·방송·스포츠직,"운동/스포츠 관람, 영화/드라마 감상, 여행, 춤/노래","진로 / 커리어 조언, 정서적 지지와 대화","진로·직업, 인생 경험·가치관",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
만수,남,만 60세~69세,판매(점원 / 슈퍼 / 편의점 직원 / 백화점 직원),경영·사무·금융·보험직,"춤/노래, 독서, 여행, 운동/스포츠 관람","정서적 지지와 대화, 진로 / 커리어 조언","IT·테크, 학업·전문 지식","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.","따뜻하지만 냉철하게, 함께 길을 찾습니다."
복순,여,만 80세~89세,예술/디자인(디자이너 / 예술가 / 작가 / 사진작가),농림어업직,"미술·전시 감상, 영화/드라마 감상",정서적 지지와 대화,"인생 경험·가치관, 학업·전문 지식","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",새로운 시도와 변화를 응원합니다.
길동,남,만 70세~79세,학생 (초·중·고·대학생 / 대학원생),예술·디자인·방송·스포츠직,"춤/노래, 요리/베이킹, 독서, 미술·전시 감상",진로 / 커리어 조언,"건강·웰빙, 예술·문화, 학업·전문 지식",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,경청 중심의 상담을 합니다.
동식,기타,만 90세 이상,운송/기계(트럭기사 / 버스기사 / 지게차 운전 / 기계조작원),연구직 및 공학기술직,"미술·전시 감상, 영화/드라마 감상, 운동/스포츠 관람","사회, 인생 경험 공유","인생 경험·가치관, 예술·문화, 진로·직업","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",삶의 전환기에 필요한 경험담을 나눕니다.
성수,남,만 60세~69세,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),경영·사무·금융·보험직,"게임 (PC/콘솔/모바일), 미술·전시 감상, 운동/스포츠 관람, 영화/드라마 감상",학업 / 전문지식 조언,"IT·테크, 정서적 지지",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
숙희,여,만 70세~79세,기타,미용·여행·숙박·음식·경비·청소직,"음악 감상, 게임 (PC/콘솔/모바일)","사회, 인생 경험 공유, 학업 / 전문지식 조언","예술·문화, 학업·전문 지식",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,학업·진로 설계를 같이 설계해요.
철호,남,만 80세~89세,시설(배관공 / 전기공 / 건설노무자 / 목수),경영·사무·금융·보험직,"게임 (PC/콘솔/모바일), 사진/영상 제작","사회, 인생 경험 공유","진로·직업, 예술·문화",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,새로운 시도와 변화를 응원합니다.
상철,남,만 90세 이상,운송/기계(트럭기사 / 버스기사 / 지게차 운전 / 기계조작원),예술·디자인·방송·스포츠직,"운동/스포츠 관람, 독서",진로 / 커리어 조언,"정서적 지지, 학업·전문 지식, 건강·웰빙",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
혜자,여,만 70세~79세,경영자(CEO / 사업주 / 임원 / 부서장),영업·판매·운전·운송직,"운동/스포츠 관람, 독서, 여행, 미술·전시 감상",학업 / 전문지식 조언,"학업·전문 지식, 건강·웰빙, IT·테크",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
순일,기타,만 80세~89세,농림수산업(농부 / 축산업 / 어부 / 임업 종사자),영업·판매·운전·운송직,"게임 (PC/콘솔/모바일), 여행","사회, 인생 경험 공유","IT·테크, 학업·전문 지식, 진로·직업","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",학업·진로 설계를 같이 설계해요.
만길,기타,만 70세~79세,경영자(CEO / 사업주 / 임원 / 부서장),보건·의료직,"음악 감상, 게임 (PC/콘솔/모바일), 미술·전시 감상, 운동/스포츠 관람","진로 / 커리어 조언, 정서적 지지와 대화","예술·문화, 정서적 지지",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
계숙,여,만 70세~79세,농림수산업(농부 / 축산업 / 어부 / 임업 종사자),건설·채굴직,"게임 (PC/콘솔/모바일), 운동/스포츠 관람, 영화/드라마 감상, 춤/노래","학업 / 전문지식 조언, 정서적 지지와 대화","인생 경험·가치관, 진로·직업, IT·테크","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",실무 경험을 바탕으로 현실적인 조언을 드립니다.
선자,여,만 90세 이상,행정관리(공공기관 관리자 / 기업 행정팀장 / 프로젝트 매니저),경영·사무·금융·보험직,"영화/드라마 감상, 게임 (PC/콘솔/모바일), 춤/노래","학업 / 전문지식 조언, 정서적 지지와 대화","진로·직업, 예술·문화",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
명숙,여,만 70세~79세,전업주부,보건·의료직,"게임 (PC/콘솔/모바일), 사진/영상 제작, 요리/베이킹",진로 / 커리어 조언,"건강·웰빙, 학업·전문 지식, 정서적 지지",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,새로운 시도와 변화를 응원합니다.
미자,여,만 90세 이상,판매(점원 / 슈퍼 / 편의점 직원 / 백화점 직원),미용·여행·숙박·음식·경비·청소직,"음악 감상, 운동/스포츠 관람, 춤/노래, 영화/드라마 감상","정서적 지지와 대화, 진로 / 커리어 조언","IT·테크, 인생 경험·가치관","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",삶의 전환기에 필요한 경험담을 나눕니다.
동호,남,만 70세~79세,일반 사무 (사무직원 / 경리 / 비서 / 고객 상담 / 문서 관리),건설·채굴직,"운동/스포츠 관람, 음악 감상","학업 / 전문지식 조언, 사회, 인생 경험 공유","학업·전문 지식, 정서적 지지",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,새로운 시도와 변화를 응원합니다.
만복,남,만 80세~89세,예술/디자인(디자이너 / 예술가 / 작가 / 사진작가),교육·법률·사회복지·경찰·소방직 및 군인,"사진/영상 제작, 미술·전시 감상, 독서, 음악 감상","사회, 인생 경험 공유","인생 경험·가치관, 예술·문화","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",경청 중심의 상담을 합니다.
미숙,기타,만 60세~69세,법률/행정(변호사 / 판사 / 검사 / 세무사 / 행정사),미용·여행·숙박·음식·경비·청소직,"게임 (PC/콘솔/모바일), 요리/베이킹, 사진/영상 제작, 운동/스포츠 관람","정서적 지지와 대화, 사회, 인생 경험 공유","예술·문화, 인생 경험·가치관",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
봉자,여,만 90세 이상,생산/제조(공장 생산직 / 조립공 / 기계조작원 / 용접공),경영·사무·금융·보험직,"사진/영상 제작, 게임 (PC/콘솔/모바일), 요리/베이킹, 여행",진로 / 커리어 조언,"건강·웰빙, 학업·전문 지식, IT·테크",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
숙자,여,만 90세 이상,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),농림어업직,"영화/드라마 감상, 독서","사회, 인생 경험 공유, 정서적 지지와 대화","인생 경험·가치관, 학업·전문 지식, 진로·직업","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",실무 경험을 바탕으로 현실적인 조언을 드립니다.
재호,남,만 60세~69세,예술/디자인(디자이너 / 예술가 / 작가 / 사진작가),교육·법률·사회복지·경찰·소방직 및 군인,"영화/드라마 감상, 춤/노래, 게임 (PC/콘솔/모바일), 운동/스포츠 관람",학업 / 전문지식 조언,"예술·문화, 정서적 지지","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",경청 중심의 상담을 합니다.
광호,기타,만 70세~79세,예술/디자인(디자이너 / 예술가 / 작가 / 사진작가),설치·정비·생산직,"독서, 음악 감상, 게임 (PC/콘솔/모바일), 사진/영상 제작",학업 / 전문지식 조언,"정서적 지지, IT·테크",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
경순,여,만 80세~89세,경영자(CEO / 사업주 / 임원 / 부서장),보건·의료직,"미술·전시 감상, 여행, 독서","진로 / 커리어 조언, 학업 / 전문지식 조언","학업·전문 지식, 진로·직업, 예술·문화",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,새로운 시도와 변화를 응원합니다.
금자,기타,만 70세~79세,서비스 전문(상담사 / 심리치료사 / 사회복지사 / 코디네이터),미용·여행·숙박·음식·경비·청소직,"미술·전시 감상, 춤/노래, 요리/베이킹","정서적 지지와 대화, 학업 / 전문지식 조언","진로·직업, 인생 경험·가치관",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,경청 중심의 상담을 합니다.
분례,여,만 70세~79세,운송/기계(트럭기사 / 버스기사 / 지게차 운전 / 기계조작원),연구직 및 공학기술직,"영화/드라마 감상, 운동/스포츠 관람, 사진/영상 제작, 게임 (PC/콘솔/모바일)","사회, 인생 경험 공유","학업·전문 지식, 진로·직업, 인생 경험·가치관",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,새로운 시도와 변화를 응원합니다.
병철,기타,만 60세~69세,청소 / 경비(경비원 / 환경미화원),교육·법률·사회복지·경찰·소방직 및 군인,"요리/베이킹, 게임 (PC/콘솔/모바일), 미술·전시 감상, 춤/노래",진로 / 커리어 조언,"예술·문화, 인생 경험·가치관, IT·테크",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,새로운 시도와 변화를 응원합니다.
용식,남,만 90세 이상,연구개발/ IT(엔지니어 / 연구원 / 소프트웨어 개발자 / 데이터 분석가),경영·사무·금융·보험직,"게임 (PC/콘솔/모바일), 영화/드라마 감상, 독서, 음악 감상",학업 / 전문지식 조언,"진로·직업, 예술·문화, 학업·전문 지식",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,새로운 시도와 변화를 응원합니다.
덕만,기타,만 80세~89세,기술(기술자 / 공학 기술자 / 실험실 기술자 / 회계사 / 건축기사),예술·디자인·방송·스포츠직,"여행, 게임 (PC/콘솔/모바일), 운동/스포츠 관람, 미술·전시 감상","사회, 인생 경험 공유","학업·전문 지식, 인생 경험·가치관, 예술·문화",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
재식,기타,만 60세~69세,일반 사무 (사무직원 / 경리 / 비서 / 고객 상담 / 문서 관리),예술·디자인·방송·스포츠직,"게임 (PC/콘솔/모바일), 운동/스포츠 관람","정서적 지지와 대화, 진로 / 커리어 조언","진로·직업, 예술·문화, IT·테크",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
연순,기타,만 70세~79세,예술/디자인(디자이너 / 예술가 / 작가 / 사진작가),예술·디자인·방송·스포츠직,"독서, 게임 (PC/콘솔/모바일)","학업 / 전문지식 조언, 정서적 지지와 대화","학업·전문 지식, 예술·문화","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",새로운 시도와 변화를 응원합니다.
원식,남,만 90세 이상,일반 사무 (사무직원 / 경리 / 비서 / 고객 상담 / 문서 관리),보건·의료직,"영화/드라마 감상, 독서",학업 / 전문지식 조언,"진로·직업, 정서적 지지, 건강·웰빙","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",삶의 전환기에 필요한 경험담을 나눕니다.
광수,남,만 70세~79세,영업(영업사원 / 마케팅 지원 / 고객 관리),경영·사무·금융·보험직,"춤/노래, 운동/스포츠 관람, 요리/베이킹, 여행","정서적 지지와 대화, 학업 / 전문지식 조언","인생 경험·가치관, 건강·웰빙","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",삶의 전환기에 필요한 경험담을 나눕니다.
길순,여,만 90세 이상,시설(배관공 / 전기공 / 건설노무자 / 목수),설치·정비·생산직,"미술·전시 감상, 운동/스포츠 관람, 춤/노래, 음악 감상","사회, 인생 경험 공유, 진로 / 커리어 조언","건강·웰빙, 진로·직업",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
복임,여,만 60세~69세,경영자(CEO / 사업주 / 임원 / 부서장),예술·디자인·방송·스포츠직,"미술·전시 감상, 게임 (PC/콘솔/모바일)",진로 / 커리어 조언,"학업·전문 지식, 인생 경험·가치관",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
길남,남,만 70세~79세,학생 (초·중·고·대학생 / 대학원생),설치·정비·생산직,"춤/노래, 영화/드라마 감상, 게임 (PC/콘솔/모바일)",학업 / 전문지식 조언,"정서적 지지, 인생 경험·가치관, 예술·문화",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
봉순,여,만 80세~89세,생산/제조(공장 생산직 / 조립공 / 기계조작원 / 용접공),경영·사무·금융·보험직,"독서, 게임 (PC/콘솔/모바일), 운동/스포츠 관람, 영화/드라마 감상","사회, 인생 경험 공유","건강·웰빙, 학업·전문 지식, 진로·직업",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,새로운 시도와 변화를 응원합니다.
창수,기타,만 70세~79세,농림수산업(농부 / 축산업 / 어부 / 임업 종사자),연구직 및 공학기술직,"춤/노래, 요리/베이킹",정서적 지지와 대화,"진로·직업, 예술·문화, IT·테크","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",실무 경험을 바탕으로 현실적인 조언을 드립니다.
